date;price
2008-01-02;26,82798195
2008-01-03;26,8095932
2008-01-04;26,42957497
2008-01-07;26,42957497
2008-01-08;26,8463707
2008-01-09;26,1108532
2008-01-10;26,33150864
2008-01-11;25,8350296
2008-01-14;26,0372982
2008-01-15;24,89112091
2008-01-16;23,59783936
2008-01-17;23,76332664
2008-01-18;23,70815849
2008-01-22;23,29136658
2008-01-23;23,14426422
2008-01-24;23,72042274
2008-01-25;23,76332664
2008-01-28;23,65912437
2008-01-29;23,38331604
2008-01-30;23,50589561
2008-01-31;23,2852459
2008-02-01;23,42008209
2008-02-04;23,15652084
2008-02-05;23,27297592
2008-02-06;23,13813782
2008-02-07;23,2974987
2008-02-08;23,31588745
2008-02-11;23,16878128
2008-02-12;23,2852459
2008-02-13;23,44460678
2008-02-14;23,43234634
2008-02-15;23,4568634
2008-02-19;23,64073944
2008-02-20;24,39464569
2008-02-21;24,39464569
2008-02-22;25,89632988
2008-02-25;25,58986282
2008-02-26;26,5604248
2008-02-27;26,0330925
2008-02-28;26,54707718
2008-02-29;26,53372955
2008-03-03;26,0330925
2008-03-04;26,19996834
2008-03-05;26,50035286
2008-03-06;26,53372955
2008-03-07;27,20124626
2008-03-10;27,54166985
2008-03-11;28,16913414
2008-03-12;28,9234333
2008-03-13;29,09699059
2008-03-14;29,06361198
2008-03-17;27,70187759
2008-03-18;28,46284866
2008-03-19;27,83538628
2008-03-20;26,70060539
2008-03-24;28,44282532
2008-03-25;29,01020622
2008-03-26;28,97015953
2008-03-27;29,04357719
2008-03-28;29,10365868
2008-03-31;29,30391502
2008-04-01;29,20378876
2008-04-02;29,50416565
2008-04-03;29,53754234
2008-04-04;29,697752
2008-04-07;29,05693245
2008-04-08;29,01020622
2008-04-09;29,18376541
2008-04-10;29,03690529
2008-04-11;28,53627777
2008-04-14;28,63640404
2008-04-15;28,61637497
2008-04-16;28,87670517
2008-04-17;29,47747421
2008-04-18;29,59762192
2008-04-21;29,54422188
2008-04-22;30,31186676
2008-04-23;31,37988281
2008-04-24;31,03945351
2008-04-25;30,3719368
2008-04-28;30,06488419
2008-04-29;29,41071892
2008-04-30;29,25050926
2008-05-01;29,80454826
2008-05-02;30,03818321
2008-05-05;30,49208641
2008-05-06;31,13290215
2008-05-07;31,49251747
2008-05-08;31,94640732
2008-05-09;31,84166336
2008-05-12;31,64614296
2008-05-13;32,09303665
2008-05-14;32,29554749
2008-05-15;32,1907959
2008-05-16;32,07209396
2008-05-19;32,12097549
2008-05-20;32,141922
2008-05-21;33,25917053
2008-05-22;33,73400497
2008-05-23;33,30805206
2008-05-27;33,3918457
2008-05-28;33,53847885
2008-05-29;33,30805206
2008-05-30;33,23822784
2008-06-02;33,37788391
2008-06-03;33,31503677
2008-06-04;32,81925583
2008-06-05;32,81925583
2008-06-06;32,81925583
2008-06-09;33,14744568
2008-06-10;33,05667877
2008-06-11;33,33599091
2008-06-12;33,21727753
2008-06-13;33,30805206
2008-06-16;33,31503677
2008-06-17;33,27314758
2008-06-18;33,28011703
2008-06-19;33,28710556
2008-06-20;33,28011703
2008-06-23;33,27314758
2008-06-24;33,27314758
2008-06-25;33,41279221
2008-06-26;33,27314758
2008-06-27;33,33599091
2008-06-30;33,28011703
2008-07-01;33,27314758
2008-07-02;33,31503677
2008-07-03;33,30805206
2008-07-07;33,30805206
2008-07-08;33,00778961
2008-07-09;33,168396
2008-07-10;33,3429718
2008-07-11;33,21030045
2008-07-14;33,25219345
2008-07-15;33,17537308
2008-07-16;33,03572464
2008-07-17;33,02175903
2008-07-18;32,93796158
2008-07-21;33,27314758
2008-07-22;33,1893425
2008-07-23;32,81925583
2008-07-24;32,90304947
2008-07-25;33,22426605
2008-07-28;33,21727753
2008-07-29;33,168396
2008-07-30;33,20331573
2008-07-31;33,3429718
2008-08-01;33,3429718
2008-08-04;33,28011703
2008-08-05;33,02874756
2008-08-06;33,3290062
2008-08-07;33,168396
2008-08-08;33,07063675
2008-08-11;33,07063675
2008-08-12;33,13348389
2008-08-13;33,51753998
2008-08-14;33,37788391
2008-08-15;33,37788391
2008-08-18;33,37788391
2008-08-19;33,38486481
2008-08-20;33,5873642
2008-08-21;33,44771957
2008-08-22;33,51753998
2008-08-25;33,52452087
2008-08-26;33,61529922
2008-08-27;33,5873642
2008-08-28;33,5873642
2008-08-29;33,66417694
2008-09-02;33,5803833
2008-09-03;33,30805206
2008-09-04;33,66417694
2008-09-05;33,76193237
2008-09-08;33,86667633
2008-09-09;33,86667633
2008-09-10;33,88064575
2008-09-11;33,89460373
2008-09-12;33,94349289
2008-09-15;33,51753998
2008-09-16;32,31649399
2008-09-17;32,59580994
2008-09-18;32,95192719
2008-09-19;33,69211578
2008-09-22;33,72702789
2008-09-23;33,79685593
2008-09-24;33,69211578
2008-09-25;33,79685593
2008-09-26;33,69211578
2008-09-29;31,70201492
2008-09-30;33,81779861
2008-10-01;32,81925583
2008-10-02;32,64468765
2008-10-03;32,81925583
2008-10-06;31,39476204
2008-10-07;31,28303719
2008-10-08;32,12097549
2008-10-09;32,61675262
2008-10-10;31,59725952
2008-10-13;30,36828995
2008-10-14;30,97579575
2008-10-15;30,68250847
2008-10-16;28,70637703
2008-10-17;28,88792801
2008-10-20;29,57224846
2008-10-21;30,05406189
2008-10-22;29,95630646
2008-10-23;29,6839695
2008-10-24;29,43258858
2008-10-27;29,32784462
2008-10-28;29,31387901
2008-10-29;29,29293633
2008-10-30;30,6964798
2008-10-31;32,10002136
2008-11-03;33,92253876
2008-11-04;34,09012604
2008-11-05;33,69211578
2008-11-06;33,86667633
2008-11-07;33,03572464
2008-11-10;30,91295052
2008-11-11;31,28303719
2008-11-12;33,65719604
2008-11-13;33,99173355
2008-11-14;33,85354996
2008-11-17;33,52628326
2008-11-18;35,41714478
2008-11-19;34,58080673
2008-11-20;33,08993149
2008-11-21;32,68995667
2008-11-24;32,87175751
2008-11-25;34,10808945
2008-11-26;35,04624557
2008-11-28;34,78443909
2008-12-01;35,37350845
2008-12-02;35,28623962
2008-12-03;35,63531876
2008-12-04;35,08260727
2008-12-05;35,63531876
2008-12-08;34,72625732
2008-12-09;34,61716843
2008-12-10;34,90806961
2008-12-11;34,68989182
2008-12-12;35,27169037
2008-12-15;35,42441559
2008-12-16;35,48986816
2008-12-17;35,45351028
2008-12-18;34,36262894
2008-12-19;34,1590004
2008-12-22;33,75173187
2008-12-23;33,63537979
2008-12-24;33,4535675
2008-12-26;33,23539352
2008-12-29;34,00627518
2008-12-30;33,56992722
2008-12-31;33,4535675
2009-01-02;33,38084412
2009-01-05;32,72631073
2009-01-06;34,18081665
2009-01-07;33,63537979
2009-01-08;33,7590065
2009-01-09;33,44628906
2009-01-12;33,18448257
2009-01-13;33,34447861
2009-01-14;33,27175522
2009-01-15;33,08993149
2009-01-16;33,20629883
2009-01-20;32,72631073
2009-01-21;32,68995667
2009-01-22;32,18087387
2009-01-23;31,08999825
2009-01-26;31,27181435
2009-01-27;31,33726501
2009-01-28;31,48998833
2009-01-29;31,77361298
2009-01-30;31,6354351
2009-02-02;31,27181435
2009-02-03;31,02454567
2009-02-04;31,06090546
2009-02-05;30,95182228
2009-02-06;31,38089943
2009-02-09;31,27181435
2009-02-10;31,06090546
2009-02-11;30,66091919
2009-02-12;29,49004173
